Metric name;Type;Description;Unit (where applicable);option parameter;additional build flag
container_accelerator_duty_cycle;Gauge;Percent of time over the past sample period during which the accelerator was actively processing;percentage;accelerator;
container_accelerator_memory_total_bytes;Gauge;Total accelerator memory;bytes;accelerator;
container_accelerator_memory_used_bytes;Gauge;Total accelerator memory allocated;bytes;accelerator;
container_blkio_device_usage_total;Counter;Blkio device bytes usage;bytes;diskIO;
container_cpu_cfs_periods_total;Counter;Number of elapsed enforcement period intervals;;cpu;
container_cpu_cfs_throttled_periods_total;Counter;Number of throttled period intervals;;cpu;
container_cpu_cfs_throttled_seconds_total;Counter;Total time duration the container has been throttled;seconds;cpu;
container_cpu_load_average_10s;Gauge;Value of container cpu load average over the last 10 seconds;;cpuLoad;
container_cpu_schedstat_run_periods_total;Counter;Number of times processes of the cgroup have run on the cpu;;sched;
container_cpu_schedstat_runqueue_seconds_total;Counter;Time duration processes of the container have been waiting on a runqueue;seconds;sched;
container_cpu_schedstat_run_seconds_total;Counter;Time duration the processes of the container have run on the CPU;seconds;sched;
container_cpu_system_seconds_total;Counter;Cumulative system cpu time consumed;seconds;cpu;
container_cpu_usage_seconds_total;Counter;Cumulative cpu time consumed;seconds;cpu;
container_cpu_user_seconds_total;Counter;Cumulative user cpu time consumed;seconds;cpu;
container_file_descriptors;Gauge;Number of open file descriptors for the container;;process;
container_fs_inodes_free;Gauge;Number of available Inodes;;disk;
container_fs_inodes_total;Gauge;Total number of Inodes;;disk;
container_fs_io_current;Gauge;Number of I/Os currently in progress;;diskIO;
container_fs_io_time_seconds_total;Counter;Cumulative count of seconds spent doing I/Os;seconds;diskIO;
container_fs_io_time_weighted_seconds_total;Counter;Cumulative weighted I/O time;seconds;diskIO;
container_fs_limit_bytes;Gauge;Number of bytes that can be consumed by the container on this filesystem;bytes;disk;
container_fs_reads_bytes_total;Counter;Cumulative count of bytes read;bytes;diskIO;
container_fs_read_seconds_total;Counter;Cumulative count of seconds spent reading;;diskIO;
container_fs_reads_merged_total;Counter;Cumulative count of reads merged;;diskIO;
container_fs_reads_total;Counter;Cumulative count of reads completed;;diskIO;
container_fs_sector_reads_total;Counter;Cumulative count of sector reads completed;;diskIO;
container_fs_sector_writes_total;Counter;Cumulative count of sector writes completed;;diskIO;
container_fs_usage_bytes;Gauge;Number of bytes that are consumed by the container on this filesystem;bytes;disk;
container_fs_writes_bytes_total;Counter;Cumulative count of bytes written;bytes;diskIO;
container_fs_write_seconds_total;Counter;Cumulative count of seconds spent writing;seconds;diskIO;
container_fs_writes_merged_total;Counter;Cumulative count of writes merged;;diskIO;
container_fs_writes_total;Counter;Cumulative count of writes completed;;diskIO;
container_hugetlb_failcnt;Counter;Number of hugepage usage hits limits;;hugetlb;
container_hugetlb_max_usage_bytes;Gauge;Maximum hugepage usages recorded;bytes;hugetlb;
container_hugetlb_usage_bytes;Gauge;Current hugepage usage;bytes;hugetlb;
container_last_seen;Gauge;Last time a container was seen by the exporter;timestamp;-;
container_llc_occupancy_bytes;Gauge;Last level cache usage statistics for container counted with RDT Memory Bandwidth Monitoring (MBM).;bytes;resctrl;
container_memory_bandwidth_bytes;Gauge;Total memory bandwidth usage statistics for container counted with RDT Memory Bandwidth Monitoring (MBM).;bytes;resctrl;
container_memory_bandwidth_local_bytes;Gauge;Local memory bandwidth usage statistics for container counted with RDT Memory Bandwidth Monitoring (MBM).;bytes;resctrl;
container_memory_cache;Gauge;Total page cache memory;bytes;memory;
container_memory_failcnt;Counter;Number of memory usage hits limits;;memory;
container_memory_failures_total;Counter;Cumulative count of memory allocation failures;;memory;
container_memory_mapped_file;Gauge;Size of memory mapped files;bytes;memory;
container_memory_max_usage_bytes;Gauge;Maximum memory usage recorded;bytes;memory;
container_memory_migrate;Gauge;Memory migrate status;;cpuset;
container_memory_numa_pages;Gauge;Number of used pages per NUMA node;;memory_numa;
