2023-03-14 12:11:57
0
1
front-end
1 (5, 0.14542199652884685)
2 (26, 0.10773512718358956)
3 (30, 0.08278005912839169)
4 (13, 0.06518728798428573)
5 (34, 0.05582788050696563)
6 (24, 0.055138603532229526)
7 (15, 0.05253774638603865)
8 (9, 0.046781914208568594)
9 (20, 0.04411417285125343)
10 (4, 0.040588747528843845)
11 (3, 0.040222535124001625)
12 (16, 0.025052015664928932)
13 (0, 0.02414078998154044)
14 (25, 0.021279159891682067)
15 (14, 0.019514681070889685)
16 (32, 0.014656180413382066)
17 (35, 0.01341679804397734)
18 (29, 0.01339160207663669)
19 (22, 0.01029360463560029)
20 (27, 0.010236602789939509)
21 (7, 0.009444126836189379)
22 (6, 0.00944263753562908)
23 (21, 0.009018387843637857)
24 (12, 0.008595356119192911)
25 (23, 0.008002357258381835)
26 (11, 0.007506250600818458)
27 (17, 0.006224415180609867)
28 (1, 0.005938773677105391)
29 (2, 0.005938773677105391)
30 (8, 0.005938773677105391)
31 (10, 0.005938773677105391)
32 (18, 0.005938773677105391)
33 (19, 0.005938773677105391)
34 (28, 0.005938773677105391)
35 (31, 0.005938773677105391)
36 (33, 0.005938773677105391)
2
front-end
1 (6, 0.09103467553410928)
2 (16, 0.08369750873236065)
3 (14, 0.08313202762050054)
4 (32, 0.08110610426862536)
5 (13, 0.07741608603690296)
6 (10, 0.0675289886952017)
7 (19, 0.06114368465166143)
8 (20, 0.06079789853617161)
9 (9, 0.058829348107041664)
10 (22, 0.055381111753828365)
11 (3, 0.03327415832164407)
12 (34, 0.03324188905368017)
13 (4, 0.03301510263962837)
14 (35, 0.02617213658861922)
15 (5, 0.01831045458693408)
16 (0, 0.01831004715143645)
17 (29, 0.014606123234012138)
18 (24, 0.00897673443889478)
19 (30, 0.008828029564771005)
20 (26, 0.0072912001361902104)
21 (15, 0.0068404932423559795)
22 (12, 0.006558804044436756)
23 (27, 0.005700530917996147)
24 (21, 0.00561119534057625)
25 (7, 0.0051027255086282565)
26 (25, 0.004955359396987605)
27 (11, 0.004734766847744029)
28 (23, 0.004547713757931072)
29 (1, 0.004366862184096203)
30 (2, 0.00434677389791019)
31 (17, 0.0043081318757901025)
32 (8, 0.0041666666666666675)
33 (18, 0.0041666666666666675)
34 (28, 0.0041666666666666675)
35 (31, 0.0041666666666666675)
36 (33, 0.0041666666666666675)
3
front-end
1 (26, 0.19815866989235692)
2 (15, 0.07281013758130608)
3 (5, 0.06711157143330972)
4 (32, 0.06621270480792207)
5 (12, 0.0569597379411558)
6 (7, 0.056450579830140575)
7 (3, 0.0469467247400422)
8 (19, 0.045844525376056156)
9 (22, 0.04330831862145745)
10 (27, 0.04300353260252824)
11 (35, 0.03791536869022009)
12 (34, 0.032067836866743964)
13 (16, 0.02538109902735362)
14 (0, 0.01881940634942773)
15 (30, 0.017991841047492522)
16 (29, 0.017455783613078944)
17 (24, 0.014128335977786644)
18 (9, 0.012788283748548611)
19 (14, 0.010254852003813377)
20 (21, 0.009956788188683502)
21 (25, 0.009823146620222349)
22 (23, 0.008586962311068437)
23 (8, 0.007448724121501972)
24 (6, 0.0072325514776135575)
25 (11, 0.006763998175571062)
26 (13, 0.006666776297407099)
27 (2, 0.0064200778434528975)
28 (4, 0.0063177187752779685)
29 (17, 0.006091693857179947)
30 (31, 0.0060815257521548375)
31 (1, 0.005833454404854274)
32 (10, 0.005833454404854274)
33 (18, 0.005833454404854274)
34 (20, 0.005833454404854274)
35 (28, 0.005833454404854274)
36 (33, 0.005833454404854274)
4
front-end
1 (34, 0.11341079209928558)
2 (24, 0.08752814319497046)
3 (35, 0.07486653280076395)
4 (20, 0.06200858428692771)
5 (22, 0.05711464211012912)
6 (25, 0.053489801558927734)
7 (15, 0.05213317886675766)
8 (5, 0.04559841165116915)
9 (26, 0.04253190003298313)
10 (29, 0.04069423487540655)
11 (23, 0.0392561799481544)
12 (0, 0.037277046622801055)
13 (27, 0.03487562229306376)
14 (3, 0.033603933279623285)
15 (4, 0.033603933279623285)
16 (19, 0.033603933279623285)
17 (16, 0.017989160728703095)
18 (32, 0.017675130792411717)
19 (12, 0.014326968684818682)
20 (9, 0.010206558561102183)
21 (21, 0.008638607790298378)
22 (28, 0.008381641015016861)
23 (8, 0.007439262037890916)
24 (2, 0.007228572895876352)
25 (6, 0.007041879375488781)
26 (7, 0.00602296561595447)
27 (30, 0.005849669465368357)
28 (11, 0.005796627539806606)
29 (14, 0.005564289273769424)
30 (13, 0.0055464844586809595)
31 (17, 0.005267426744542355)
32 (31, 0.005265524872286791)
33 (1, 0.005040589991943494)
34 (10, 0.005040589991943494)
35 (18, 0.005040589991943494)
36 (33, 0.005040589991943494)
5
front-end
1 (13, 0.09532274389548542)
2 (16, 0.09054271474597667)
3 (6, 0.07098324226379281)
4 (12, 0.06963221296619078)
5 (14, 0.06791515960878201)
6 (0, 0.05363511071117269)
7 (25, 0.050347126893111216)
8 (24, 0.04965270313052674)
9 (26, 0.04744934171900138)
10 (5, 0.04367282427458869)
11 (15, 0.039650758264207164)
12 (3, 0.03874749683937811)
13 (19, 0.033584239596708726)
14 (34, 0.03218473744567983)
15 (20, 0.03145570396447647)
16 (27, 0.030815771812718707)
17 (35, 0.029090630562232343)
18 (32, 0.01691186884355036)
