2023-03-14 11:14:01
0
1
front-end
1 (27, 0.13496675855094376)
2 (14, 0.10696051164268504)
3 (13, 0.09990518795553142)
4 (11, 0.0828548131172255)
5 (16, 0.07251233616327162)
6 (9, 0.06677076912205422)
7 (29, 0.062376009317190756)
8 (33, 0.03657667475496285)
9 (30, 0.03578872487433071)
10 (8, 0.03525373120770178)
11 (6, 0.031106295649331775)
12 (34, 0.030456291456262417)
13 (24, 0.019957676770256283)
14 (10, 0.019312095798614655)
15 (22, 0.016936644501667597)
16 (26, 0.01311590675002311)
17 (2, 0.01273335482262357)
18 (4, 0.012657738917710836)
19 (1, 0.010505691488447554)
20 (25, 0.010100722155384812)
21 (20, 0.008347884288325867)
22 (32, 0.007963828385346587)
23 (0, 0.006982189915558601)
24 (21, 0.006641787892974779)
25 (5, 0.006419014484743336)
26 (23, 0.006056805725006486)
27 (3, 0.005885856901817938)
28 (19, 0.005458604336977153)
29 (31, 0.005341898533887564)
30 (15, 0.005300997861560206)
31 (12, 0.005222839377712834)
32 (28, 0.004937232039939341)
33 (7, 0.004864375079976375)
34 (17, 0.004864375079976375)
35 (18, 0.004864375079976375)
2
front-end
1 (30, 0.11319510882501611)
2 (23, 0.07212998285953336)
3 (10, 0.05736030962921805)
4 (9, 0.05379071247550254)
5 (16, 0.047379235911197255)
6 (12, 0.0458000281747809)
7 (19, 0.041343635934118377)
8 (22, 0.041343635934118377)
9 (1, 0.03566598417739354)
10 (6, 0.03566598417739354)
11 (13, 0.03566598417739354)
12 (14, 0.03566598417739354)
13 (24, 0.03566598417739354)
14 (25, 0.03566598417739354)
15 (27, 0.03566598417739354)
16 (29, 0.03566598417739354)
17 (32, 0.03566598417739354)
18 (2, 0.02701744187111527)
19 (26, 0.023474625924718037)
20 (5, 0.020426245302480415)
21 (0, 0.017063149360412748)
22 (8, 0.017063149360412748)
23 (31, 0.012920257200485709)
24 (15, 0.012816794477474426)
25 (3, 0.011027549383333859)
26 (21, 0.011027549383333859)
27 (33, 0.011027549383333859)
28 (4, 0.005349897626609031)
29 (7, 0.005349897626609031)
30 (11, 0.005349897626609031)
31 (17, 0.005349897626609031)
32 (18, 0.005349897626609031)
33 (20, 0.005349897626609031)
34 (28, 0.005349897626609031)
35 (34, 0.005349897626609031)
3
front-end
1 (22, 0.08843236026152676)
2 (15, 0.07668871424768929)
3 (6, 0.05753191650407305)
4 (16, 0.047879849233597664)
5 (21, 0.04052527063647538)
6 (3, 0.0396859237653186)
7 (12, 0.0396859237653186)
8 (24, 0.039530574691380105)
9 (30, 0.03558116013180202)
10 (8, 0.03439566613122046)
11 (9, 0.03439566613122046)
12 (11, 0.03439566613122046)
13 (13, 0.03439566613122046)
14 (14, 0.03439566613122046)
15 (18, 0.03439566613122046)
16 (20, 0.03439566613122046)
17 (29, 0.03439566613122046)
18 (32, 0.03439566613122046)
19 (25, 0.03276087268933324)
20 (10, 0.028018539144365234)
21 (33, 0.02664134705637161)
22 (34, 0.020847784632049546)
23 (19, 0.02054486253106403)
24 (26, 0.0160447895713481)
25 (27, 0.015271858935477108)
26 (2, 0.012039352855127642)
27 (23, 0.008441979864185737)
28 (5, 0.007465364256947591)
29 (0, 0.005864460527465898)
30 (1, 0.00515934991968307)
31 (4, 0.00515934991968307)
32 (7, 0.00515934991968307)
33 (17, 0.00515934991968307)
34 (28, 0.00515934991968307)
35 (31, 0.00515934991968307)
4
front-end
1 (27, 0.12304111207497415)
2 (32, 0.10059013524735334)
